bilstm,.,A,AP,Ad,AdvP,CC,CONJP,D,FRAG,IN,INTJ,LST,N,NA,NP,NPP,PP,PRN,PRT,Punct,QP,RRC,S,UCP,V,VP,X
.,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
A,0,74,3,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,0,2,3,0,0
AP,0,2,358,2,7,0,0,0,0,0,0,0,0,18,25,0,0,2,0,0,3,0,0,6,0,14,0
Ad,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AdvP,0,0,6,1,162,0,0,0,0,0,0,0,0,5,8,0,1,0,0,0,3,0,6,0,0,18,0
CC,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CONJP,0,0,0,0,1,0,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAG,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
IN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LST,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0,2,0,0,0,0,0,0,0,0,0,0,255,0,73,0,1,0,0,0,1,0,0,1,0,1,0
NA,2,0,34,0,18,0,0,0,9,0,0,0,0,15460,249,6,4,25,0,0,13,0,62,6,16,222,1
NP,0,6,42,1,12,0,1,2,59,0,0,0,38,340,16810,2,21,52,0,0,36,4,66,5,7,242,3
NPP,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,379,0,1,0,0,0,0,0,0,0,0,0
PP,0,0,3,0,0,0,0,0,0,1,0,0,0,4,5,0,143,1,0,0,0,0,2,2,0,5,0
PRN,0,0,2,0,0,0,0,0,2,0,0,0,0,9,17,0,3,185,0,0,0,0,8,3,2,5,0
PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Punct,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,1,0
QP,0,0,3,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,602,0,0,0,0,1,0
RRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,1,1,2,0,6,0,0,0,18,1,2,0,1,38,46,0,6,20,0,0,0,0,3444,2,3,20,0
UCP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,6,0,0,0
V,0,0,1,0,1,0,0,0,0,0,0,0,1,20,0,0,3,3,0,0,0,0,5,0,106,16,0
VP,0,0,21,1,23,0,2,0,1,0,0,0,2,274,236,0,13,62,0,0,2,2,66,6,24,4878,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
